patch_index,reuse_vs_pedalboard__log_spectral_distance_db,reuse_vs_pedalboard__spectral_convergence,reuse_vs_pedalboard__normalized_rms_difference,reload_vs_pedalboard__log_spectral_distance_db,reload_vs_pedalboard__spectral_convergence,reload_vs_pedalboard__normalized_rms_difference,reuse_vs_reload__log_spectral_distance_db,reuse_vs_reload__spectral_convergence,reuse_vs_reload__normalized_rms_difference
45,6.297296685171019e-05,5.355638372318947e-08,0.0,6.297296685171019e-05,5.355638372318947e-08,0.0,0.0,0.0,0.0
46,5.325010834877768e-05,5.138393124366115e-08,0.0,5.325010834877768e-05,5.138393124366115e-08,0.0,0.0,0.0,0.0
47,6.61630630598275e-05,4.5651233662583616e-08,0.0,6.61630630598275e-05,4.5651233662583616e-08,0.0,0.0,0.0,0.0
48,5.358387949059126e-06,5.046023735736259e-08,0.0,5.358387949059126e-06,5.046023735736259e-08,0.0,0.0,0.0,0.0
49,3.967688419980619e-05,5.081029103527936e-08,0.0,3.967688419980619e-05,5.081029103527936e-08,0.0,0.0,0.0,0.0
50,1.9617079945290082e-05,4.874580672186724e-08,0.0,1.9617079945290082e-05,4.874580672186724e-08,0.0,0.0,0.0,0.0
51,5.507658848756565e-06,4.9303676329837375e-08,0.0,5.507658848756565e-06,4.9303676329837375e-08,0.0,0.0,0.0,0.0
52,5.19577362516179e-05,4.93811200039752e-08,0.0,5.19577362516179e-05,4.93811200039752e-08,0.0,0.0,0.0,0.0
53,0.00010599583260637916,4.423054495827117e-08,0.0,0.00010599583260637916,4.423054495827117e-08,0.0,0.0,0.0,0.0
54,5.394645228742926e-05,4.848566763080212e-08,0.0,5.394645228742926e-05,4.848566763080212e-08,0.0,0.0,0.0,0.0
55,4.941586623038652e-06,5.0396090040422304e-08,0.0,4.941586623038652e-06,5.0396090040422304e-08,0.0,0.0,0.0,0.0
56,8.699684521332342,1.0047478291420056,1.4208384345343892,8.172293340412887,1.0406706322982546,1.4172311766667756,8.516992568969727,0.9839326739311218,1.4114710092544556
57,9.552278763432604,1.3891006851433831,1.4160083846332985,9.08796371040745,1.3389407557256048,1.4136911508200236,9.396135330200195,1.3687268495559692,1.4051625728607178
58,0.0002904142550571588,5.562866611225671e-08,0.0,0.0002904142550571588,5.562866611225671e-08,0.0,0.0,0.0,0.0
59,8.374811167370773,1.1514837159734739,1.3944526116338622,9.451762415482602,0.8552154948622813,1.40132684127874,9.811450004577637,1.1774650812149048,1.4348605871200562
60,4.447282645036952e-05,5.559115695923593e-08,0.0,4.447282645036952e-05,5.559115695923593e-08,0.0,0.0,0.0,0.0
62,0.00019733706595289027,5.262403139233464e-08,0.0,0.00019733706595289027,5.262403139233464e-08,0.0,0.0,0.0,0.0
63,6.816413414851459e-06,5.320269217504196e-08,0.0,6.816413414851459e-06,5.320269217504196e-08,0.0,0.0,0.0,0.0
64,4.352009293619037e-05,5.615018673116207e-08,0.0,4.352009293619037e-05,5.615018673116207e-08,0.0,0.0,0.0,0.0
65,7.911751765764813e-05,4.1659559244199095e-08,0.0,7.911751765764813e-05,4.1659559244199095e-08,0.0,0.0,0.0,0.0
68,4.722291848798374e-05,4.673787212578909e-08,0.0,4.722291848798374e-05,4.673787212578909e-08,0.0,0.0,0.0,0.0
