patch_index,cross_engine_lsd_db,context_leakage_lsd_db
0,8.10689838948027e-05,0.0
1,1.1148418349553273e-05,0.0
3,2.9173107565600294e-06,0.0
5,3.659747276382857e-05,0.0
7,2.9560594265050107e-05,0.0
8,6.36226077992826e-05,0.0
9,7.510386101590871e-06,0.0
10,6.346621619036233e-05,0.0
11,8.541197135614956,8.595791545985339
12,7.597264759446983,6.379645810534736
13,1.9127682847529736e-05,0.0
14,8.58349211158705,8.274893739864435
15,3.1228818133536503e-05,0.0
16,7.102122119006499e-05,0.0
17,1.2264668444461336e-05,0.0
18,1.5421403666539712e-05,0.0
19,1.0040018225674432e-05,0.0
21,5.401574715609542e-06,0.0
22,0.0001346355126357,0.0
23,5.772578045507669e-05,0.0
24,8.081899001819718e-05,0.0
25,3.939291328820971e-05,0.0
26,0.0001024435040399,0.0
27,0.0003727746237218,0.0
28,5.946292436912578,5.978813332177732
29,1.134210835251974e-05,0.0
30,1.9735091242741403e-05,0.0
31,8.809269569256379e-05,0.0
32,7.9118658585084125,8.356724427290835
34,2.8910742483817107e-05,0.0
35,3.2184648632099815e-06,0.0
36,6.721325590907329,6.703188360571813
37,4.0339810085671986e-05,0.0
38,4.696837905228911e-06,0.0
39,1.173306814863369e-05,0.0
40,8.3023784514504e-05,0.0
41,1.7440285858597666e-05,0.0
43,0.0003731478191765,0.0
44,5.398396292104408e-05,0.0
45,6.297296685171019e-05,0.0
46,5.325010834877768e-05,0.0
47,6.61630630598275e-05,0.0
48,5.358387949059126e-06,0.0
49,3.967688419980619e-05,0.0
50,1.961707994529008e-05,0.0
51,5.507658848756565e-06,0.0
52,5.19577362516179e-05,0.0
53,0.0001059958326063,0.0
54,5.394645228742926e-05,0.0
55,4.941586623038652e-06,0.0
56,8.59484474515413,8.995225341778907
57,8.509959568359749,10.041603399741293
58,0.0002904142550571,0.0
59,8.959941251601373,9.483332241041488
60,4.447282645036952e-05,0.0
62,0.0001973370659528,0.0
63,6.816413414851459e-06,0.0
64,4.352009293619037e-05,0.0
65,7.911751765764813e-05,0.0
68,4.722291848798374e-05,0.0
70,3.751117932283931e-05,0.0
71,0.0001110605725266,0.0
73,0.0001183140537278,0.0
74,1.836116530980888e-05,0.0
75,1.0921298289761848e-05,0.0
76,4.322088682407968e-05,0.0
77,0.0001003894015078,0.0
78,4.468806457491196e-05,0.0
79,0.0007302236802312,0.0
81,0.0001215991346538,0.0
82,2.546439427567784e-05,0.0
83,9.32193637521337e-05,0.0
84,6.113957012122608e-05,0.0
85,9.917473321567384e-06,0.0
86,4.464423444588246e-05,0.0
87,6.742016603801366,8.306047818865986
88,3.3513350122294576e-05,0.0
89,7.439697959758749e-05,0.0
90,3.835266387146609e-05,0.0
92,0.0001290053269173,0.0
93,9.17979719412034e-06,0.0
94,6.040742302076544e-05,0.0
95,9.33798661529872,8.309995838820868
99,0.0001653278721843,0.0
100,0.0003318908238394,0.0
101,0.0001009121700325,0.0
104,0.0002676708558987,0.0
105,4.192413313631907e-05,0.0
106,2.512624628389372e-05,0.0
108,8.324066737784839e-05,0.0
109,0.0006227434406069,0.0
110,5.504749420322677e-05,0.0
111,6.60872324868042e-06,0.0
112,0.0001712714048833,0.0
113,2.0865584250006072e-05,0.0
114,2.07133069070469e-05,0.0
115,0.0002217152797058,0.0
116,2.4426633076068913e-05,0.0
117,0.0003098222252144,0.0
118,6.049943481692461e-05,0.0
121,7.530523530083124,7.746641408656688
124,0.0002101012343326,0.0
125,2.3876566365368033e-05,0.0
126,2.552477493559044e-05,0.0
127,0.0002542252705945,0.0
128,1.144097490961484e-05,0.0
129,4.334123657956045e-05,0.0
130,0.0001006525324704,0.0
131,5.284438693464229e-05,0.0
132,6.248128895576302e-05,0.0
133,4.372991202907265e-05,0.0
134,5.183085375574496e-06,0.0
136,0.0002031331527792,0.0
137,12.661411589257298,8.322573772046931
138,9.860876430828635e-05,0.0
139,7.432766929181734,8.292691834725128
140,4.941349544116976e-05,0.0
141,9.189641502573383e-05,0.0
142,5.5352385077383224e-05,0.0
143,7.341294073952025e-05,0.0
144,2.6323998326219268e-05,0.0
145,8.456230220735288,8.451261043575249
146,3.882873216525899e-06,0.0
147,0.0001206828124351,0.0
148,3.113085882131067e-05,0.0
149,0.0001566510025151,0.0
150,1.2154180372639238e-05,0.0
151,7.588460023997722,7.52244350381814
152,0.0001483063743427,0.0
153,4.476368795154267e-05,0.0
154,0.0001282055333974,0.0
155,1.1072022029941526e-05,0.0
156,6.985199670925547e-05,0.0
157,7.716945680370811e-06,0.0
158,1.257664319355931e-05,0.0
159,0.0001228301977871,0.0
160,0.000358069281183,0.0
161,2.0284727929788096e-05,0.0
162,3.256688078415898e-05,0.0
163,0.0007033783313379,0.0
164,0.0001436877230182,0.0
165,1.8127976968042033e-05,0.0
166,2.0142883996469092e-05,0.0
167,12.250825290149857,11.977169057119585
168,2.1052382035955345e-05,0.0
169,2.2768632463736303e-05,0.0
170,4.3876271273269586e-05,0.0
171,7.726118682360953,7.85619719624241
172,5.721657659815446,5.615777764270269
174,8.73038872872698e-06,0.0
175,7.293977750841414e-05,0.0
176,8.966486497687171,10.97911075661844
177,6.233986622545424e-05,0.0
178,6.116488532312563,6.602050061131451
179,8.975263980733782e-06,0.0
180,5.7968690885445465e-06,0.0
181,7.364775595291207e-05,0.0
182,2.5886191015305897e-05,0.0
183,4.4275511730041336e-05,0.0
184,6.558957435884991,5.880497527945902
185,4.7450955348715794e-05,0.0
187,4.354242176464448e-05,0.0
188,7.970204010309518e-05,0.0
189,1.7849332319061295e-05,0.0
190,10.78716141099668,11.245452625834757
191,3.5523403076574124e-05,0.0
192,7.45373692211466,7.788833593864179
193,9.702305845560124e-05,0.0
194,6.28848141517359e-05,0.0
195,3.595287972752215e-05,0.0
196,7.11739338545166e-05,0.0
197,4.033152589223456e-05,0.0
198,0.0001722935788633,0.0
200,9.769229039420075,8.584443077104758
201,3.1215442157489494e-05,0.0
202,3.560616539377352e-05,0.0
203,3.674442140001547e-05,0.0
204,7.03994915431535e-05,0.0
205,3.065489272780713e-05,0.0
206,0.0003334488140087,0.0
208,4.5012716308826424e-05,0.0
209,6.702861685692815,6.752812869693292
210,3.594644472306329e-05,0.0
211,5.044710080216733e-06,0.0
212,3.992585890325904e-05,0.0
213,0.0005534971579132,0.0
214,0.0007255781379447,0.0
215,0.0005047874533723,0.0
217,6.9704389309668235e-06,0.0
219,3.209166826565694e-05,0.0
221,7.0434286659147e-05,0.0
223,6.290888762706208e-05,0.0
224,0.0001253716156596,0.0
225,1.4874210873385336e-05,0.0
226,0.0002505254719136,0.0
227,0.0004968757619009,0.0
228,4.843391336327777e-05,0.0
229,5.250411815795154e-05,0.0
230,0.0003539789087422,0.0
231,4.3306538965445294e-05,0.0
232,2.0715351688774203e-05,0.0
234,7.621963665003515e-05,0.0
235,9.919693190021312e-06,0.0
236,9.412723756960084e-06,0.0
237,8.531188577061901e-05,0.0
238,4.031626905067179e-05,0.0
239,2.858671437657393e-05,0.0
240,0.0002652433698529,0.0
241,13.038623992330026,12.875980278778174
242,4.1385026596907454e-05,0.0
243,5.946396241939001,6.18648277293456
244,0.0002680754255175,0.0
245,2.6393024254284185e-05,0.0
246,6.065129592031545e-05,0.0
248,0.0001038703809257,0.0
249,9.674040295402849,9.408324835965567
250,3.291307892486645e-05,0.0
251,7.551289104909716,7.085097741901889
252,8.070004543648432e-05,0.0
253,5.192635634244361e-05,0.0
254,0.0004905039858075,0.0
255,0.0001637978520195,0.0
256,8.727248057798986,8.5526342065084
258,2.2370996942628288e-05,0.0
259,4.841353892806519e-05,0.0
